Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2024-10-26,,8:00 PM,Columbus Blue Jackets,3,Nashville Predators,4,Regulation,,,6.5,-113,-105,,,,,
2024-10-26,,7:30 PM,Florida Panthers,6,New York Islanders,3,Regulation,,,6,102,-120,,,,,
2024-10-26,,7:00 PM,Anaheim Ducks,1,New York Rangers,2,Regulation,,,6,-125,107,,,,,
2024-10-26,,1:00 PM,Minnesota Wild,5,Philadelphia Flyers,7,Regulation,,,6,104,-121,,,,,
2024-10-26,,10:00 PM,Carolina Hurricanes,4,Seattle Kraken,1,Regulation,,,6,100,-120,,,,,
2024-10-26,,7:00 PM,Washington Capitals,0,Tampa Bay Lightning,3,Regulation,,,6.5,-105,-115,,,,,
2024-10-26,,10:00 PM,Pittsburgh Penguins,3,Vancouver Canucks,4,Regulation,,,6.5,-116,-103,,,,,
2024-10-26,,10:00 PM,San Jose Sharks,3,Vegas Golden Knights,7,Regulation,,,6,-110,-110,,,,,
2024-10-27,,9:00 PM,Ottawa Senators,4,Colorado Avalanche,5,Regulation,,,6.5,-116,-102,,,,,
2024-10-27,,6:00 PM,Edmonton Oilers,3,Detroit Red Wings,2,Regulation,,,6.5,-125,108,,,,,
2024-10-27,,7:00 PM,Anaheim Ducks,2,New Jersey Devils,6,Regulation,,,6.5,-116,-102,,,,,
2024-10-27,,7:00 PM,Montreal Canadiens,4,Philadelphia Flyers,3,Regulation,,,6.5,-115,-104,,,,,
2024-10-28,,7:00 PM,Florida Panthers,5,Buffalo Sabres,2,Regulation,,,6,-117,-101,,,,,
2024-10-28,,7:00 PM,Edmonton Oilers,1,Columbus Blue Jackets,6,Regulation,,,6.5,-127,110,,,,,
2024-10-28,,9:00 PM,Chicago Blackhawks,5,Colorado Avalanche,2,Regulation,,,6.5,-106,-113,,,,,
2024-10-28,,7:30 PM,Nashville Predators,2,Tampa Bay Lightning,3,Regulation,,,6.5,108,-125,,,,,
2024-10-28,,9:00 PM,San Jose Sharks,5,Utah Hockey Club,4,Regulation,,,6,-113,-106,,,,,
2024-10-28,,10:00 PM,Carolina Hurricanes,4,Vancouver Canucks,3,Regulation,,,6,-108,-110,,,,,
2024-10-28,,10:00 PM,Calgary Flames,0,Vegas Golden Knights,5,Regulation,,,6.5,-112,-106,,,,,
2024-10-28,,7:30 PM,Toronto Maple Leafs,6,Winnipeg Jets,4,Regulation,,,5.5,-118,-101,,,,,
2024-10-29,,7:00 PM,Philadelphia Flyers,2,Boston Bruins,0,Regulation,,,6.5,-117,-100,,,,,
2024-10-29,,7:00 PM,Seattle Kraken,8,Montreal Canadiens,2,Regulation,,,6,-112,-106,,,,,
2024-10-29,,7:00 PM,Anaheim Ducks,3,New York Islanders,1,Regulation,,,6,107,-125,,,,,
2024-10-29,,7:00 PM,St. Louis Blues,1,Ottawa Senators,8,Regulation,,,6,-120,-100,,,,,
2024-10-29,,7:00 PM,Minnesota Wild,5,Pittsburgh Penguins,3,Regulation,,,6,-113,-105,,,,,
2024-10-29,,10:00 PM,Los Angeles Kings,2,San Jose Sharks,4,Regulation,,,6,-120,100,,,,,
2024-10-29,,7:30 PM,New York Rangers,3,Washington Capitals,5,Regulation,,,6,-105,-115,,,,,
2024-10-30,,7:00 PM,New York Islanders,0,Columbus Blue Jackets,2,Regulation,,,6,-104,-115,,,,,
2024-10-30,,9:00 PM,Tampa Bay Lightning,5,Colorado Avalanche,2,Regulation,,,6.5,-120,104,,,,,
2024-10-30,,7:30 PM,Winnipeg Jets,6,Detroit Red Wings,2,Regulation,,,6,-110,-107,,,,,
2024-10-30,,10:00 PM,Vegas Golden Knights,3,Los Angeles Kings,6,Regulation,,,6,-125,108,,,,,
2024-10-30,,9:30 PM,Calgary Flames,1,Utah Hockey Club,5,Regulation,,,6,-122,104,,,,,
2024-10-30,,10:30 PM,New Jersey Devils,6,Vancouver Canucks,0,Regulation,,,6.5,-125,110,,,,,
2024-10-31,,7:00 PM,Boston Bruins,2,Carolina Hurricanes,8,Regulation,,,6,-110,-108,,,,,
2024-10-31,,8:00 PM,Edmonton Oilers,5,Nashville Predators,1,Regulation,,,6,-120,102,,,,,
2024-10-31,,7:00 PM,St. Louis Blues,1,Philadelphia Flyers,2,Regulation,,,6,104,-122,,,,,
2024-10-31,,7:00 PM,Anaheim Ducks,1,Pittsburgh Penguins,2,Regulation,,,6.5,-113,-105,,,,,
2024-10-31,,10:30 PM,Chicago Blackhawks,2,San Jose Sharks,3,Regulation,,,6,-120,102,,,,,
2024-10-31,,7:00 PM,Seattle Kraken,1,Toronto Maple Leafs,4,Regulation,,,6,-120,-100,,,,,
2024-10-31,,7:00 PM,Montreal Canadiens,3,Washington Capitals,6,Regulation,,,6.5,-105,-115,,,,,
2024-11-01,,7:00 PM,New York Islanders,4,Buffalo Sabres,3,Regulation,,,5.5,-120,-100,,,,,
2024-11-01,,7:00 PM,Winnipeg Jets,6,Columbus Blue Jackets,2,Regulation,,,6.5,-113,-105,,,,,
2024-11-01,,9:00 PM,New Jersey Devils,0,Calgary Flames,3,Regulation,,,6.5,-130,110,,,,,
2024-11-01,,2:00 PM,Florida Panthers,6,Dallas Stars,4,Regulation,,,6,-114,-104,,,,,
2024-11-01,,8:00 PM,Tampa Bay Lightning,3,Minnesota Wild,5,Regulation,,,6,-120,102,,,,,
2024-11-01,,7:00 PM,Ottawa Senators,1,New York Rangers,2,Regulation,,,6.5,103,-120,,,,,
2024-11-02,,7:00 PM,Buffalo Sabres,1,Detroit Red Wings,2,Regulation,,,6.5,-101,-117,,,,,
2024-11-02,,12:00 PM,Dallas Stars,2,Florida Panthers,4,Regulation,,,6.5,-103,-115,,,,,
