Date,Away,Away_Abbr,Home,Home_Abbr,Away_G,Home_G,Total,Away_GP_Before,Home_GP_Before,Away_GF_Avg,Away_GA_Avg,Home_GF_Avg,Home_GA_Avg,Eligible,Lambda,Line,Over_Odds,Under_Odds,Home_GF_Model,Home_GA_Model,Away_GF_Model,Away_GA_Model,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-10-23,Pittsburgh Penguins,PIT,Florida Panthers,FLA,5,3,8,7,8,3.2857,2.2857,2.3750,2.8750,False,,,,,,,,,,,,,,,False,,
2025-10-23,Vancouver Canucks,VAN,Nashville Predators,NSH,1,2,3,7,7,3.0000,3.1429,2.4286,3.4286,False,,,,,,,,,,,,,,,False,,
2025-10-23,Detroit Red Wings,DET,New York Islanders,NYI,2,7,9,7,6,3.1429,2.5714,3.3333,3.6667,False,,,,,,,,,,,,,,,False,,
2025-10-23,San Jose Sharks,SJS,New York Rangers,NYR,6,5,11,6,8,2.6667,4.8333,2.0000,1.8750,False,,,,,,,,,,,,,,,False,,
2025-10-23,Philadelphia Flyers,PHI,Ottawa Senators,OTT,1,2,3,6,7,3.0000,2.6667,3.1429,4.7143,False,,,,,,,,,,,,,,,False,,
2025-10-23,Utah Mammoth,UTA,St. Louis Blues,STL,7,4,11,7,6,3.0000,2.2857,2.6667,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-23,Chicago Blackhawks,CHI,Tampa Bay Lightning,TBL,3,2,5,7,6,3.1429,2.5714,2.6667,3.5000,False,,,,,,,,,,,,,,,False,,
2025-10-23,Seattle Kraken,SEA,Winnipeg Jets,WPG,3,0,3,7,6,2.7143,3.2857,3.8333,2.1667,False,,,,,,,,,,,,,,,False,,
2025-10-24,Toronto Maple Leafs,TOR,Buffalo Sabres,BUF,3,5,8,7,7,3.4286,3.5714,2.7143,2.8571,False,,,,,,,,,,,,,,,False,,
2025-10-24,Washington Capitals,WSH,Columbus Blue Jackets,CBJ,5,1,6,7,6,3.0000,1.8571,3.1667,2.6667,False,,,,,,,,,,,,,,,False,,
2025-10-24,San Jose Sharks,SJS,New Jersey Devils,NJD,1,3,4,7,7,3.1429,4.8571,4.0000,2.5714,False,,,,,,,,,,,,,,,False,,
2025-10-24,Calgary Flames,CGY,Winnipeg Jets,WPG,3,5,8,8,7,1.6250,3.6250,3.2857,2.2857,False,,,,,,,,,,,,,,,False,,
2025-10-25,Colorado Avalanche,COL,Boston Bruins,BOS,2,3,5,8,9,3.5000,2.3750,3.2222,3.6667,False,,,,,,,,,,,,,,,False,,
2025-10-25,Carolina Hurricanes,CAR,Dallas Stars,DAL,2,3,5,7,7,4.1429,2.7143,3.1429,3.7143,False,,,,,,,,,,,,,,,False,,
2025-10-25,St. Louis Blues,STL,Detroit Red Wings,DET,4,6,10,7,8,2.8571,3.8571,3.0000,3.1250,False,,,,,,,,,,,,,,,False,,
2025-10-25,Vegas Golden Knights,VGK,Florida Panthers,FLA,0,3,3,7,9,4.2857,2.8571,2.4444,3.1111,False,,,,,,,,,,,,,,,False,,
2025-10-25,Utah Mammoth,UTA,Minnesota Wild,MIN,6,2,8,8,8,3.5000,2.5000,2.6250,3.3750,False,,,,,,,,,,,,,,,False,,
2025-10-25,Los Angeles Kings,LAK,Nashville Predators,NSH,4,5,9,8,8,2.7500,3.3750,2.3750,3.1250,False,,,,,,,,,,,,,,,False,,
2025-10-25,New York Islanders,NYI,Philadelphia Flyers,PHI,3,4,7,7,7,3.8571,3.4286,2.7143,2.5714,False,,,,,,,,,,,,,,,False,,
2025-10-25,Columbus Blue Jackets,CBJ,Pittsburgh Penguins,PIT,5,4,9,7,8,2.8571,3.0000,3.5000,2.3750,False,,,,,,,,,,,,,,,False,,
2025-10-25,Edmonton Oilers,EDM,Seattle Kraken,SEA,2,3,5,8,8,3.0000,3.1250,2.7500,2.8750,False,,,,,,,,,,,,,,,False,,
2025-10-25,Anaheim Ducks,ANA,Tampa Bay Lightning,TBL,3,4,7,7,7,3.7143,3.5714,2.5714,3.4286,False,,,,,,,,,,,,,,,False,,
2025-10-25,Buffalo Sabres,BUF,Toronto Maple Leafs,TOR,3,4,7,8,8,3.0000,2.8750,3.3750,3.7500,False,,,,,,,,,,,,,,,False,,
2025-10-25,Montreal Canadiens,MTL,Vancouver Canucks,VAN,4,3,7,9,8,3.5556,3.0000,2.7500,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-25,Ottawa Senators,OTT,Washington Capitals,WSH,7,1,8,8,8,3.0000,4.2500,3.2500,1.7500,False,,,,,,,,,,,,,,,False,,
2025-10-26,New York Rangers,NYR,Calgary Flames,CGY,1,5,6,9,9,2.3333,2.3333,1.7778,3.7778,False,,,,,,,,,,,,,,,False,,
2025-10-26,Los Angeles Kings,LAK,Chicago Blackhawks,CHI,3,1,4,9,8,2.8889,3.5556,3.1250,2.5000,False,,,,,,,,,,,,,,,False,,
2025-10-26,San Jose Sharks,SJS,Minnesota Wild,MIN,6,5,11,8,9,2.8750,4.6250,2.5556,3.6667,False,,,,,,,,,,,,,,,False,,
2025-10-26,Colorado Avalanche,COL,New Jersey Devils,NJD,3,4,7,9,8,3.3333,2.4444,3.8750,2.3750,False,,,,,,,,,,,,,,,False,,
2025-10-26,Dallas Stars,DAL,Nashville Predators,NSH,3,2,5,8,9,3.1250,3.5000,2.6667,3.2222,False,,,,,,,,,,,,,,,False,,
2025-10-26,Vegas Golden Knights,VGK,Tampa Bay Lightning,TBL,1,2,3,8,8,3.7500,2.8750,2.7500,3.3750,False,,,,,,,,,,,,,,,False,,
2025-10-26,Edmonton Oilers,EDM,Vancouver Canucks,VAN,3,4,7,9,9,2.8889,3.1111,2.7778,3.1111,False,,,,,,,,,,,,,,,False,,
2025-10-26,Utah Mammoth,UTA,Winnipeg Jets,WPG,3,2,5,9,8,3.7778,2.4444,3.5000,2.3750,False,,,,,,,,,,,,,,,False,,
2025-10-27,Boston Bruins,BOS,Ottawa Senators,OTT,2,7,9,10,9,3.2000,3.5000,3.4444,3.8889,False,,,,,,,,,,,,,,,False,,
2025-10-27,St. Louis Blues,STL,Pittsburgh Penguins,PIT,3,6,9,8,9,3.0000,4.1250,3.5556,2.6667,False,,,,,,,,,,,,,,,False,,
2025-10-28,New York Islanders,NYI,Boston Bruins,BOS,2,5,7,8,11,3.7500,3.5000,3.0909,3.8182,False,,,,,,,,,,,,,,,False,,
2025-10-28,Columbus Blue Jackets,CBJ,Buffalo Sabres,BUF,4,3,7,8,9,3.1250,3.1250,3.0000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-28,Vegas Golden Knights,VGK,Carolina Hurricanes,CAR,6,3,9,9,8,3.4444,2.7778,3.8750,2.7500,False,,,,,,,,,,,,,,,False,,
2025-10-28,Ottawa Senators,OTT,Chicago Blackhawks,CHI,3,7,10,10,9,3.8000,3.7000,2.8889,2.5556,False,,,,,,,,,,,,,,,False,,
2025-10-28,New Jersey Devils,NJD,Colorado Avalanche,COL,4,8,12,9,10,3.8889,2.4444,3.3000,2.6000,False,,,,,,,,,,,,,,,False,,
2025-10-28,Washington Capitals,WSH,Dallas Stars,DAL,0,1,1,9,9,3.0000,2.3333,3.1111,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-28,Utah Mammoth,UTA,Edmonton Oilers,EDM,3,6,9,10,10,3.7000,2.4000,2.9000,3.2000,True,6.2605,6.0,-115,-105,3.0452,3.2162,3.5101,2.7853,0.5952,0.4048,Toss-up,6.03,-10.74,Over,False,False,
2025-10-28,Anaheim Ducks,ANA,Florida Panthers,FLA,3,2,5,8,10,3.6250,3.6250,2.5000,2.8000,False,,,,,,,,,,,,,,,False,,
2025-10-28,Winnipeg Jets,WPG,Minnesota Wild,MIN,4,3,7,9,10,3.3333,2.4444,2.8000,3.9000,False,,,,,,,,,,,,,,,False,,
2025-10-28,Tampa Bay Lightning,TBL,Nashville Predators,NSH,5,2,7,9,10,2.6667,3.1111,2.6000,3.2000,False,,,,,,,,,,,,,,,False,,
2025-10-28,Pittsburgh Penguins,PIT,Philadelphia Flyers,PHI,2,3,5,10,8,3.8000,2.7000,2.8750,2.6250,False,,,,,,,,,,,,,,,False,,
2025-10-28,Montreal Canadiens,MTL,Seattle Kraken,SEA,4,3,7,10,9,3.6000,3.0000,2.7778,2.7778,False,,,,,,,,,,,,,,,False,,
