Date,Away_Abbr,Home_Abbr,Away_G,Home_G,Total,Eligible,Line,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-10-28,UTA,EDM,3,6,9,True,6.0,0.5964,0.4036,Over,6.15,-10.86,Over,True,True,86.96
2025-10-28,ANA,FLA,3,2,5,True,6.5,0.4319,0.5681,Toss-up,-6.81,2.27,Under,False,False,
2025-10-28,WPG,MIN,4,3,7,True,6.0,0.5958,0.4042,Over,8.36,-13.07,Over,True,True,95.24
2025-10-28,TBL,NSH,5,2,7,True,6.0,0.5324,0.4676,Toss-up,3.24,-7.79,Over,False,False,
2025-10-28,PIT,PHI,2,3,5,True,6.0,0.5783,0.4217,Toss-up,4.34,-9.05,Under,False,False,
2025-10-28,MTL,SEA,4,3,7,True,5.5,0.5767,0.4233,Toss-up,3.13,-7.67,Over,False,False,
2025-10-28,LAK,SJS,4,3,7,True,6.0,0.6765,0.3235,Over,15.27,-20.03,Over,True,True,90.91
2025-10-28,DET,STL,5,2,7,True,6.0,0.6880,0.3120,Over,17.58,-22.29,Over,True,True,95.24
2025-10-28,CGY,TOR,3,4,7,True,5.5,0.6005,0.3995,Over,3.53,-7.67,Over,True,True,76.92
2025-10-28,NYR,VAN,2,0,2,True,5.5,0.4996,0.5004,Toss-up,-4.58,0.04,Under,False,False,
2025-10-29,TOR,CBJ,3,6,9,True,6.5,0.4990,0.5010,Toss-up,-5.65,1.32,Over,False,False,
2025-10-30,BUF,BOS,3,4,7,True,6.5,0.4889,0.5111,Toss-up,-2.33,-2.38,Over,False,False,
2025-10-30,NYI,CAR,2,6,8,True,6.5,0.5385,0.4615,Toss-up,-0.70,-3.85,Over,False,False,
2025-10-30,NYR,EDM,4,3,7,True,5.5,0.5042,0.4958,Toss-up,-4.13,-0.42,Over,False,False,
2025-10-30,DET,LAK,4,3,7,True,5.5,0.6221,0.3779,Over,8.72,-13.43,Over,True,True,86.96
2025-10-30,PIT,MIN,4,1,5,True,6.5,0.4909,0.5091,Toss-up,-5.45,0.91,Under,False,False,
2025-10-30,CGY,OTT,3,4,7,True,6.0,0.6515,0.3485,Over,11.66,-16.37,Over,True,True,86.96
2025-10-30,NSH,PHI,1,4,5,True,5.5,0.5317,0.4683,Toss-up,-0.32,-4.39,Under,False,False,
2025-10-30,NJD,SJS,2,5,7,True,6.5,0.5828,0.4172,Over,4.79,-9.50,Over,True,True,86.96
2025-10-30,VAN,STL,4,3,7,True,6.0,0.6171,0.3829,Over,11.71,-16.25,Over,True,True,100.00
2025-10-30,DAL,TBL,1,2,3,True,6.0,0.5285,0.4715,Toss-up,1.63,-6.34,Under,False,False,
2025-10-30,CHI,WPG,3,6,9,True,6.0,0.5482,0.4518,Toss-up,3.60,-8.31,Over,False,False,
2025-10-31,DET,ANA,2,5,7,True,6.5,0.5145,0.4855,Toss-up,-0.93,-3.83,Over,False,False,
2025-10-31,COL,VGK,4,2,6,True,6.5,0.4699,0.5301,Toss-up,-5.39,0.63,Under,False,False,
2025-10-31,NYI,WSH,3,1,4,True,6.0,0.5774,0.4226,Toss-up,3.19,-7.74,Under,False,False,
2025-11-01,CAR,BOS,1,2,3,True,6.5,0.5446,0.4554,Toss-up,2.08,-6.84,Under,False,False,
2025-11-01,WSH,BUF,3,4,7,True,6.5,0.3422,0.6578,Under,-17.00,12.29,Over,True,False,-100.00
2025-11-01,STL,CBJ,2,3,5,True,6.5,0.5442,0.4558,Toss-up,2.03,-6.80,Under,False,False,
2025-11-01,CHI,EDM,2,3,5,True,6.5,0.4603,0.5397,Toss-up,-3.97,-0.58,Under,False,False,
2025-11-01,DAL,FLA,3,4,7,True,5.5,0.4671,0.5329,Toss-up,-4.51,-0.20,Over,False,False,
2025-11-01,NJD,LAK,4,1,5,True,6.0,0.6431,0.3569,Over,11.93,-16.69,Under,True,False,-100.00
2025-11-01,VAN,MIN,2,5,7,True,6.0,0.5775,0.4225,Toss-up,7.75,-12.30,Over,False,False,
2025-11-01,OTT,MTL,3,4,7,True,6.0,0.7085,0.2915,Over,17.36,-22.07,Over,True,True,86.96
2025-11-01,CGY,NSH,2,4,6,True,5.5,0.5360,0.4640,Toss-up,0.12,-4.82,Over,False,False,
2025-11-01,TOR,PHI,5,2,7,True,5.5,0.6073,0.3927,Over,6.18,-10.73,Over,True,True,83.33
2025-11-01,NYR,SEA,3,2,5,True,5.5,0.4658,0.5342,Toss-up,-3.42,-1.12,Under,False,False,
2025-11-01,COL,SJS,2,3,5,True,6.5,0.5590,0.4410,Toss-up,0.34,-4.68,Under,False,False,
2025-11-01,PIT,WPG,2,5,7,True,6.5,0.4302,0.5698,Toss-up,-6.98,2.44,Over,False,False,
2025-11-02,NJD,ANA,1,4,5,True,6.5,0.5165,0.4835,Toss-up,-0.74,-4.03,Under,False,False,
2025-11-02,CBJ,NYI,2,3,5,True,6.5,0.5027,0.4973,Toss-up,-6.25,2.11,Under,False,False,
2025-11-02,CGY,PHI,2,1,3,True,5.5,0.5248,0.4752,Toss-up,-2.07,-2.48,Under,False,False,
2025-11-02,DET,SJS,3,2,5,True,6.5,0.5510,0.4490,Toss-up,0.55,-5.10,Under,False,False,
2025-11-02,TBL,UTA,4,2,6,True,6.0,0.5630,0.4370,Toss-up,3.92,-8.68,Push,False,False,
2025-11-03,VAN,NSH,5,4,9,True,5.5,0.5366,0.4634,Toss-up,0.17,-4.88,Over,False,False,
2025-11-03,CHI,SEA,1,3,4,True,6.0,0.5461,0.4539,Toss-up,3.39,-8.10,Under,False,False,
2025-11-03,EDM,STL,2,3,5,True,6.0,0.6616,0.3384,Over,10.61,-14.95,Under,True,False,-100.00
2025-11-03,PIT,TOR,3,4,7,True,6.5,0.5149,0.4851,Toss-up,-3.06,-1.49,Over,False,False,
2025-11-04,FLA,ANA,3,7,10,True,6.0,0.5718,0.4282,Toss-up,4.80,-9.56,Over,False,False,
2025-11-04,UTA,BUF,2,1,3,True,6.5,0.4627,0.5373,Toss-up,-4.95,0.24,Under,False,False,
2025-11-04,TBL,COL,2,3,5,True,6.0,0.5558,0.4442,Toss-up,2.09,-6.80,Under,False,False,
2025-11-04,EDM,DAL,3,4,7,True,6.0,0.5445,0.4555,Toss-up,4.45,-8.99,Over,False,False,
2025-11-04,WPG,LAK,0,3,3,True,5.5,0.5943,0.4057,Over,5.94,-10.65,Under,True,False,-100.00
2025-11-04,NSH,MIN,2,3,5,True,6.5,0.4513,0.5487,Toss-up,-4.87,0.33,Under,False,False,
2025-11-04,PHI,MTL,5,4,9,True,5.5,0.5574,0.4426,Toss-up,3.36,-8.12,Over,False,False,
2025-11-04,BOS,NYI,4,3,7,True,6.0,0.6556,0.3444,Over,12.07,-16.78,Over,True,True,86.96
2025-11-04,CAR,NYR,3,0,3,True,5.5,0.5161,0.4839,Toss-up,-3.94,-0.39,Under,False,False,
2025-11-04,DET,VGK,0,1,1,True,6.0,0.6219,0.3781,Over,7.65,-12.19,Under,True,False,-100.00
2025-11-05,CBJ,CGY,1,5,6,True,6.0,0.5552,0.4448,Toss-up,3.14,-7.90,Push,False,False,
2025-11-05,SJS,SEA,6,1,7,True,6.0,0.5993,0.4007,Over,5.38,-9.93,Over,True,True,83.33
2025-11-05,UTA,TOR,3,5,8,True,6.5,0.4985,0.5015,Toss-up,-1.36,-3.34,Over,False,False,
2025-11-05,CHI,VAN,5,2,7,True,6.0,0.5630,0.4370,Toss-up,3.92,-8.68,Over,False,False,
2025-11-05,STL,WSH,1,6,7,True,5.5,0.5535,0.4465,Toss-up,4.13,-8.83,Over,False,False,
2025-11-06,OTT,BOS,2,3,5,True,6.0,0.7104,0.2896,Over,18.66,-23.43,Under,True,False,-100.00
2025-11-06,STL,BUF,3,0,3,True,6.5,0.4666,0.5334,Toss-up,-3.34,-1.21,Under,False,False,
2025-11-06,MIN,CAR,3,4,7,True,6.5,0.4493,0.5507,Toss-up,-5.07,0.52,Over,False,False,
2025-11-06,ANA,DAL,7,5,12,True,6.5,0.4489,0.5511,Toss-up,-5.11,0.56,Over,False,False,
2025-11-06,FLA,LAK,5,2,7,True,5.5,0.5406,0.4594,Toss-up,4.06,-8.61,Over,False,False,
2025-11-06,MTL,NJD,3,4,7,True,6.0,0.6616,0.3384,Over,12.67,-17.38,Over,True,True,86.96
2025-11-06,PHI,NSH,3,1,4,True,5.5,0.5403,0.4597,Toss-up,1.65,-6.41,Under,False,False,
2025-11-06,WSH,PIT,3,5,8,True,6.5,0.3720,0.6280,Under,-12.80,8.26,Over,True,False,-100.00
2025-11-06,TBL,VGK,6,3,9,True,6.0,0.5045,0.4955,Toss-up,-0.77,-3.94,Over,False,False,
2025-11-07,CHI,CGY,4,0,4,True,6.0,0.5331,0.4669,Toss-up,0.93,-5.69,Under,False,False,
2025-11-07,NYR,DET,4,1,5,True,6.0,0.4643,0.5357,Toss-up,-5.95,1.19,Under,False,False,
2025-11-07,MIN,NYI,5,2,7,True,6.5,0.4923,0.5077,Toss-up,-5.31,0.77,Over,False,False,
2025-11-07,WPG,SJS,1,2,3,True,6.5,0.4784,0.5216,Toss-up,-2.16,-2.39,Under,False,False,
2025-11-08,BUF,CAR,3,6,9,True,6.5,0.4001,0.5999,Under,-14.54,9.99,Over,True,False,-100.00
2025-11-08,COL,EDM,9,1,10,True,6.5,0.4462,0.5538,Toss-up,-6.60,1.89,Over,False,False,
2025-11-08,UTA,MTL,2,6,8,True,6.0,0.6481,0.3519,Over,12.43,-17.19,Over,True,True,90.91
2025-11-08,PIT,NJD,1,2,3,True,6.5,0.4852,0.5148,Toss-up,-3.86,-0.90,Under,False,False,
2025-11-08,DAL,NSH,5,4,9,True,5.5,0.5654,0.4346,Toss-up,0.02,-4.16,Over,False,False,
2025-11-08,NYI,NYR,5,0,5,True,6.0,0.5157,0.4843,Toss-up,0.35,-5.06,Under,False,False,
2025-11-08,OTT,PHI,3,2,5,True,5.5,0.6146,0.3854,Over,10.24,-14.95,Under,True,False,-100.00
2025-11-08,FLA,SJS,1,3,4,True,6.5,0.4547,0.5453,Toss-up,-4.53,-0.01,Under,False,False,
2025-11-08,SEA,STL,4,3,7,True,5.5,0.5674,0.4326,Toss-up,0.21,-4.35,Over,False,False,
2025-11-08,WSH,TBL,2,3,5,True,6.0,0.5057,0.4943,Toss-up,-0.65,-4.05,Under,False,False,
2025-11-08,BOS,TOR,5,3,8,True,6.0,0.6869,0.3131,Over,17.47,-22.18,Over,True,True,95.24
2025-11-08,CBJ,VAN,3,4,7,True,6.5,0.4366,0.5634,Toss-up,-8.72,3.95,Over,False,False,
2025-11-08,ANA,VGK,4,3,7,True,6.5,0.5162,0.4838,Toss-up,-6.71,2.93,Over,False,False,
2025-11-09,WPG,ANA,1,4,5,True,6.5,0.4785,0.5215,Toss-up,-4.53,-0.23,Under,False,False,
2025-11-09,SEA,DAL,1,2,3,True,6.0,0.5746,0.4254,Toss-up,6.24,-10.95,Under,False,False,
